1.34.159.145    1-34-159-145.HINET-IP.hinet.net
106.3.46.117    undefine.inidc.com.cn
107.13.135.22   mta-107-13-135-22.nc.rr.com
107.182.140.20  20-140-182-107-static.reverse.queryfoundry.net
109.73.13.86    database.selecta.org
118.140.178.108 cyberm.com.hk
123.31.34.139   localhost
139.162.73.19   li1553-19.members.linode.com
152.245.191.153 152-245-191-153.user.vivozap.com.br
169.54.233.116  74.e9.36a9.ip4.static.sl-reverse.com
179.164.106.32  179-164-106-32.user.vivozap.com.br
187.195.60.209  dsl-187-195-60-209-dyn.prod-infinitum.com.mx
191.210.205.119 191-210-205-119.user.vivozap.com.br
191.22.154.14   191-22-154-14.user.vivozap.com.br
195.154.63.232  195-154-63-232.rev.poneytelecom.eu
198.23.194.212  198-23-194-212-host.colocrossing.com
201.152.197.48  dsl-201-152-197-48-dyn.prod-infinitum.com.mx
218.65.30.4     4.30.65.218.broad.xy.jx.dynamic.163data.com.cn
221.194.47.229  mail.colorwind.net
31.185.96.148   148-96-185-31.integrys.it
35.156.98.96    ec2-35-156-98-96.eu-central-1.compute.amazonaws.com
47.219.21.193   47-219-21-193.tyrccmtk01.res.dyn.suddenlink.net
51.15.39.98     98-39-15-51.rev.cloud.scaleway.com
58.152.79.97    n058152079097.netvigator.com
62.210.198.162  62-210-198-162.rev.poneytelecom.eu
62.4.1.193      sc32-smtp.pwnmail.fr
62.4.1.197      sc36-smtp.pwnmail.fr
64.89.202.233   64-89-202-233.static.wntpr.net
66.96.194.161   161-194-96-66.myrepublic.com.sg
81.214.137.80   81.214.137.80.static.ttnet.com.tr
81.66.22.140    81-66-22-140.rev.numericable.fr
89.13.190.193   x590dbec1.dyn.telefonica.de
91.200.13.11    dedic854.hidehost.net
94.43.62.254    94-43-62-254.dsl.utg.ge
95.154.250.21   server.bilaltube.com
95.39.39.5      95.39.39.5.static.user.ontitel.com
96.83.84.81     96-83-84-81-static.hfc.comcastbusiness.net
